Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,Income_bin,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
41,1,Travel_Rarely,Sales,Life Sciences,2,Female,3,2,4,Single,5993,2,Yes,8,1,6,4,0,5,1
49,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,2,2,2,Married,5130,2,No,10,3,10,7,1,7,8
37,1,Travel_Rarely,Research & Development,Other,4,Male,2,1,3,Single,2090,1,Yes,7,3,0,0,0,0,2
33,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,1,3,Married,2909,1,Yes,8,3,8,7,3,0,3
27,0,Travel_Rarely,Research & Development,Medical,1,Male,3,1,2,Married,3468,2,No,6,3,2,2,2,2,2
32,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,3,1,4,Single,3068,2,No,8,2,7,7,3,6,2
59,0,Travel_Rarely,Research & Development,Medical,3,Female,4,1,1,Married,2670,1,Yes,12,2,1,0,0,0,3
30,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,3,Divorced,2693,1,No,1,3,1,0,0,0,24
38,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,3,3,Single,9526,4,No,10,3,9,7,1,8,23
36,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,3,Married,5237,2,No,17,2,7,7,7,7,27
35,0,Travel_Rarely,Research & Development,Medical,1,Male,4,1,2,Married,2426,1,No,6,3,5,4,0,3,16
29,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,2,2,3,Single,4193,2,Yes,10,3,9,5,0,8,15
31,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Divorced,2911,1,No,5,2,5,2,4,3,26
34,0,Travel_Rarely,Research & Development,Medical,2,Male,3,1,4,Divorced,2661,1,No,3,3,2,2,1,2,19
28,1,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,3,Single,2028,1,Yes,6,3,4,2,0,3,24
29,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,3,1,Divorced,9980,4,No,10,3,10,9,8,8,21
32,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,4,1,2,Divorced,3298,2,Yes,7,2,6,2,0,5,5
22,0,Non-Travel,Research & Development,Medical,4,Male,4,1,4,Divorced,2935,1,Yes,1,2,1,0,0,0,16
53,0,Travel_Rarely,Sales,Life Sciences,1,Female,2,4,4,Married,15427,6,No,31,3,25,8,3,7,2
38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Single,3944,2,Yes,6,3,3,2,1,2,2
24,0,Non-Travel,Research & Development,Other,1,Female,4,2,3,Divorced,4011,2,No,5,2,4,2,1,3,11
36,1,Travel_Rarely,Sales,Life Sciences,3,Male,2,1,1,Single,3407,2,No,10,3,5,3,0,3,9
34,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,3,2,Single,11994,4,No,13,3,12,6,2,11,7
21,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,1232,1,No,0,3,0,0,0,0,15
34,1,Travel_Rarely,Research & Development,Medical,2,Male,3,1,1,Single,2960,1,No,8,3,4,2,1,3,6
53,0,Travel_Rarely,Research & Development,Other,3,Female,3,5,3,Divorced,19094,6,No,26,2,14,13,4,8,5
32,1,Travel_Frequently,Research & Development,Life Sciences,2,Female,1,1,1,Single,3919,2,Yes,10,3,10,2,6,7,16
42,0,Travel_Rarely,Sales,Marketing,3,Male,3,2,2,Married,6825,3,No,10,3,9,7,4,2,8
44,0,Travel_Rarely,Research & Development,Medical,1,Female,2,3,4,Married,10248,4,No,24,3,22,6,5,17,7
46,0,Travel_Rarely,Sales,Marketing,2,Female,3,5,1,Single,18947,6,No,22,2,2,2,2,1,2
33,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Single,2496,1,No,7,3,1,1,0,0,2
44,0,Travel_Rarely,Research & Development,Other,4,Male,3,2,4,Married,6465,3,Yes,9,4,4,2,1,3,10
30,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Single,2206,1,No,10,3,10,0,1,8,9
39,1,Travel_Rarely,Sales,Technical Degree,4,Male,3,2,4,Married,2086,1,No,19,4,1,0,0,0,5
24,1,Travel_Rarely,Research & Development,Medical,2,Male,3,1,4,Married,2293,1,Yes,6,2,2,0,2,0,1
43,0,Travel_Rarely,Research & Development,Medical,4,Female,4,1,3,Divorced,2645,1,No,6,2,5,3,1,4,2
50,1,Travel_Rarely,Sales,Marketing,1,Male,2,1,3,Married,2683,1,Yes,3,3,3,2,0,2,3
35,0,Travel_Rarely,Sales,Marketing,4,Female,3,1,4,Married,2014,1,No,2,3,2,2,2,2,2
36,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,2,1,1,Married,3419,2,Yes,6,4,1,1,0,0,5
33,0,Travel_Frequently,Sales,Life Sciences,3,Female,4,2,1,Married,5376,2,No,10,3,5,3,1,3,1
35,0,Travel_Rarely,Research & Development,Other,3,Male,3,1,4,Divorced,1951,1,No,1,3,1,0,0,0,4
27,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,1,Divorced,2341,1,No,1,3,1,0,0,0,2
